customer_id,num_orders,spent_amount,installments,age,potential
CUST00001,13,1225.61,14,68,LOW
CUST00002,13,9371.33,6,37,HIGH
CUST00003,17,3492,3,68,MEDIUM
CUST00004,12,705.25,20,20,LOW
CUST00005,17,1028.91,13,49,LOW
CUST00006,13,7412.94,18,36,MEDIUM
CUST00007,11,767.57,3,42,LOW
CUST00008,1,2806.14,16,26,MEDIUM
CUST00009,13,637.9,3,69,LOW
CUST00010,13,3252.94,1,58,MEDIUM
CUST00011,2,7130.32,21,30,MEDIUM
CUST00012,14,1656.31,14,32,LOW
CUST00013,11,8840.87,12,18,HIGH
CUST00014,11,5798.4,16,68,MEDIUM
CUST00015,18,6104.32,14,33,MEDIUM
CUST00016,10,8237.57,20,65,HIGH
CUST00017,12,6457.25,13,52,MEDIUM
CUST00018,5,4629.35,13,31,MEDIUM
CUST00019,8,6302.98,11,28,MEDIUM
CUST00020,16,1845,5,34,LOW
CUST00021,1,3113.46,13,39,MEDIUM
CUST00022,14,6783.26,15,60,MEDIUM
CUST00023,10,5171.47,16,33,MEDIUM
CUST00024,7,7593.23,10,27,HIGH
CUST00025,13,5222.12,4,52,MEDIUM
CUST00026,1,6986,19,57,MEDIUM
CUST00027,1,8852.46,10,68,HIGH
CUST00028,1,2914.72,6,30,MEDIUM
CUST00029,15,4728.89,17,46,MEDIUM
CUST00030,13,8012.73,18,47,HIGH
CUST00031,13,1264.59,15,18,LOW
CUST00032,18,8349.94,12,34,HIGH
CUST00033,2,7411.89,9,25,MEDIUM
CUST00034,13,1522.27,20,41,LOW
CUST00035,5,1436.03,11,26,LOW
CUST00036,16,8905.64,3,58,HIGH
CUST00037,13,2501.06,17,33,MEDIUM
CUST00038,17,2466.27,14,40,LOW
CUST00039,3,4131.47,18,62,MEDIUM
CUST00040,3,9427,15,25,HIGH
CUST00041,18,1242.18,2,22,LOW
CUST00042,8,2613.14,21,66,MEDIUM
CUST00043,19,4750.15,13,22,MEDIUM
CUST00044,4,7595.81,6,65,HIGH
CUST00045,15,3056.82,18,23,MEDIUM
CUST00046,5,8050.44,21,57,HIGH
CUST00047,17,9335.37,3,22,HIGH
CUST00048,18,4743.76,3,34,MEDIUM
CUST00049,12,9652.6,21,59,HIGH
CUST00050,15,4499.05,7,55,MEDIUM
CUST00051,3,7274.51,16,23,MEDIUM
CUST00052,9,4927.73,5,36,MEDIUM
CUST00053,12,6586.67,7,42,MEDIUM
CUST00054,10,2363.35,8,60,LOW
CUST00055,13,8544.45,2,61,HIGH
CUST00056,2,9693.87,4,35,HIGH
CUST00057,5,9845.23,8,39,HIGH
CUST00058,1,4433.08,2,22,MEDIUM
CUST00059,10,1697.25,23,18,LOW
CUST00060,7,9381.59,10,33,HIGH
CUST00061,10,7308.94,18,22,MEDIUM
CUST00062,13,2979.11,10,60,MEDIUM
CUST00063,7,5024.95,19,64,MEDIUM
CUST00064,6,3499.54,20,18,MEDIUM
CUST00065,16,8729.03,8,19,HIGH
CUST00066,1,6768.97,20,20,MEDIUM
CUST00067,7,5023.21,18,37,MEDIUM
CUST00068,5,968.6,19,52,LOW
CUST00069,9,4271.46,7,61,MEDIUM
CUST00070,7,1225.28,5,68,LOW
CUST00071,19,2289.45,11,61,LOW
CUST00072,10,7281.46,17,29,MEDIUM
CUST00073,7,1661.09,18,66,LOW
CUST00074,10,2246.83,5,21,LOW
CUST00075,14,3042.79,7,33,MEDIUM
CUST00076,18,267.66,23,46,LOW
CUST00077,6,8095.57,22,67,HIGH
CUST00078,15,181.45,3,30,LOW
CUST00079,1,4318.53,5,55,MEDIUM
CUST00080,7,6946.08,19,50,MEDIUM
CUST00081,13,6024.31,12,32,MEDIUM
CUST00082,7,7263.94,20,59,MEDIUM
CUST00083,10,8633.98,14,59,HIGH
CUST00084,14,799.32,2,50,LOW
CUST00085,17,5061.83,7,63,MEDIUM
CUST00086,13,9082.18,23,18,HIGH
CUST00087,2,1970.96,20,38,LOW
CUST00088,9,2798.41,9,64,MEDIUM
CUST00089,19,4229.71,2,29,MEDIUM
CUST00090,17,4744.17,14,48,MEDIUM
CUST00091,13,8763.8,15,22,HIGH
CUST00092,3,5327.38,18,57,MEDIUM
CUST00093,16,9883.48,4,21,HIGH
CUST00094,7,3980.01,13,62,MEDIUM
CUST00095,8,5607.04,20,40,MEDIUM
CUST00096,15,4133.61,1,24,MEDIUM
CUST00097,18,1501.24,23,61,LOW
CUST00098,10,8823.54,22,39,HIGH
CUST00099,9,7051.8,1,65,MEDIUM
CUST00100,11,7519.93,3,57,HIGH
CUST00101,15,2545.05,19,51,MEDIUM
CUST00102,19,2317.3,12,61,LOW
CUST00103,12,7868.12,8,37,HIGH
CUST00104,8,2146.12,17,59,LOW
CUST00105,8,7216.75,20,65,MEDIUM
CUST00106,13,334.08,17,60,LOW
CUST00107,17,6899.37,7,27,MEDIUM
CUST00108,12,5060.21,9,64,MEDIUM
CUST00109,4,7682.81,5,65,HIGH
CUST00110,6,3086.11,19,68,MEDIUM
CUST00111,19,2198.27,11,44,LOW
CUST00112,16,5788.63,3,64,MEDIUM
CUST00113,5,8367.32,12,23,HIGH
CUST00114,17,1575.35,23,52,LOW
CUST00115,16,8196.87,14,65,HIGH
CUST00116,16,6545.01,14,38,MEDIUM
CUST00117,1,8994.72,22,31,HIGH
CUST00118,10,1019.61,22,49,LOW
CUST00119,10,2822.57,9,21,MEDIUM
CUST00120,11,5747.57,2,59,MEDIUM
CUST00121,4,8156.34,23,39,HIGH
CUST00122,5,8019.51,19,39,HIGH
CUST00123,16,5680.38,9,47,MEDIUM
CUST00124,2,2277.12,5,27,LOW
CUST00125,1,1937.51,16,55,LOW
CUST00126,9,6534.14,7,51,MEDIUM
CUST00127,19,2716.6,19,67,MEDIUM
CUST00128,8,2059.49,22,51,LOW
CUST00129,12,4179.83,17,26,MEDIUM
CUST00130,12,5359.47,16,42,MEDIUM
CUST00131,18,3691.22,7,65,MEDIUM
CUST00132,9,5784.29,13,62,MEDIUM
CUST00133,4,9074.89,19,69,HIGH
CUST00134,12,6476.58,18,64,MEDIUM
CUST00135,8,7333.37,10,42,MEDIUM
CUST00136,9,9014.16,14,34,HIGH
CUST00137,6,2518.56,6,50,MEDIUM
CUST00138,9,9378.17,21,29,HIGH
CUST00139,9,9002.07,15,47,HIGH
CUST00140,1,9952.95,23,63,HIGH
CUST00141,10,1250.71,14,46,LOW
CUST00142,9,497.57,10,48,LOW
CUST00143,4,5587.79,4,67,MEDIUM
